temp_huan1,temp_21#bellow_sul,temp_20#bellow_sul,temp_24#bellow_nor,temp_23#bellow_nor,temp_22#bellow_nor,temp_21#bellow_nor,temp_20#bellow_nor,prequency_fan_2,pressure_flue_sul,pressure_flue_nor,temp_flue_nor,thickness,hun2_water,hun2_waterq,zhonghe,fankuang,SS_FeO_value,SS_FeO_value.1,SS_FeO_value.2
356.4,466.4,470.4,472.6,521.2,507.8,502.4,447.0,5.9818,-13.4642,-13.4132,157.6,735.1896,6.047,60.0,0.596389396,0.249974274,0.0,0.0,0.0
360.0,466.4,469.4,473.4,520.4,507.8,501.6,445.2,6.0242,-13.4692,-13.4102,155.0,735.3524,6.0352,60.0,0.597648239,0.248025098,0.0,0.0,0.0
361.0,467.6,469.6,473.4,520.0,506.8,500.8,443.6,6.1078,-13.472,-13.4132,152.4,736.3456,6.0602,60.0,0.597598675,0.247540539,0.0,0.0,0.0
362.0,469.2,469.4,473.8,520.0,506.6,499.8,441.6,6.0946,-13.4692,-13.421,152.6,741.5714,6.0206,60.0,0.597880433,0.247422592,9.15,9.15,9.24
362.0,470.0,469.4,474.4,521.2,506.6,499.6,440.2,6.0924,-13.4614,-13.424,155.2,743.7854,5.9684,60.0,0.597167019,0.248040062,0.0,0.0,0.0
363.2,470.0,469.6,474.0,520.4,506.2,498.8,440.4,6.0888,-13.4662,-13.4318,155.2,743.769,5.9162,60.0,0.59719397,0.247891519,0.0,0.0,0.0
364.4,470.0,469.8,473.6,519.6,503.8,498.0,440.6,6.0852,-13.471,-13.4396,155.2,741.0176,5.8978,60.0,0.596620335,0.248476709,0.0,0.0,0.0
365.6,469.6,469.4,469.2,518.0,501.4,497.2,440.8,6.0184,-13.4788,-13.4406,157.8,738.2662,5.8794,60.0,0.596046701,0.2490619,9.24,9.24,9.3
365.0,469.0,470.0,460.2,509.2,495.8,492.8,439.2,6.011,-13.4896,-13.4376,155.2,743.2804,5.8868,60.0,0.595159043,0.250028127,0.0,0.0,0.0
362.8,467.6,469.0,449.8,499.6,488.0,486.8,435.4,6.0402,-13.5042,-13.4356,155.2,749.6134,5.8972,60.0,0.59528989,0.249734661,0.0,0.0,0.0
359.2,467.0,467.8,440.4,492.0,479.4,481.4,430.0,6.0708,-13.5062,-13.4288,157.8,755.344,5.9428,60.0,0.595269888,0.25012513,0.0,0.0,0.0
355.6,466.4,463.4,430.4,483.2,473.0,476.0,423.4,6.0656,-13.5004,-13.422,157.8,761.9374,5.9752,60.0,0.595554997,0.250110985,9.3,9.3,9.48
